epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9367.74,0.98856,0.50312,1.00029,0.70017,0.77942,0.73723,0.46351,1.30291,0.61521,1.09983,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9652.58,0.98697,0.50184,0.99675,0.66337,0.79875,0.72965,0.45595,1.30325,0.61203,1.09735,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9938.04,0.97642,0.49728,0.99295,0.67502,0.79669,0.73653,0.45745,1.30192,0.61434,1.09862,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10221.9,0.97572,0.49564,0.99146,0.65185,0.77266,0.72244,0.44899,1.30432,0.61822,1.09835,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10509.4,0.93822,0.46483,0.97888,0.66137,0.76798,0.7188,0.44636,1.30822,0.61675,1.10228,0.0098025,0.0032675,0.0098025,0.0032675,0.0098025,0.0032675,0.0098025,0.0032675
37,10794.9,0.92277,0.45453,0.97121,0.67499,0.74369,0.72984,0.45691,1.30889,0.61281,1.10206,0.009654,0.003218,0.009654,0.003218,0.009654,0.003218,0.009654,0.003218
38,11079.1,0.91537,0.44997,0.96942,0.67851,0.74577,0.73139,0.45727,1.30771,0.60995,1.10124,0.0095055,0.0031685,0.0095055,0.0031685,0.0095055,0.0031685,0.0095055,0.0031685
39,11374.6,0.90806,0.44623,0.96503,0.67523,0.74684,0.73178,0.45901,1.30738,0.60796,1.10061,0.009357,0.003119,0.009357,0.003119,0.009357,0.003119,0.009357,0.003119
40,11668.8,0.90608,0.44631,0.96496,0.65151,0.79846,0.73693,0.45894,1.30772,0.60784,1.10082,0.0092085,0.0030695,0.0092085,0.0030695,0.0092085,0.0030695,0.0092085,0.0030695
41,11955,0.9035,0.44308,0.96164,0.65107,0.80127,0.73331,0.45533,1.30621,0.60578,1.10008,0.00906,0.00302,0.00906,0.00302,0.00906,0.00302,0.00906,0.00302
42,12239.4,0.89918,0.44025,0.96336,0.67443,0.79491,0.73615,0.45708,1.30552,0.60369,1.09887,0.0089115,0.0029705,0.0089115,0.0029705,0.0089115,0.0029705,0.0089115,0.0029705
43,12524.4,0.89581,0.44057,0.96003,0.69194,0.78638,0.7393,0.4584,1.30263,0.60339,1.09736,0.008763,0.002921,0.008763,0.002921,0.008763,0.002921,0.008763,0.002921
44,12809.5,0.89494,0.43869,0.95792,0.6722,0.79464,0.73822,0.45739,1.3021,0.60505,1.09669,0.0086145,0.0028715,0.0086145,0.0028715,0.0086145,0.0028715,0.0086145,0.0028715
45,13094,0.89145,0.43967,0.95919,0.68324,0.78125,0.73559,0.45657,1.30236,0.60483,1.09778,0.008466,0.002822,0.008466,0.002822,0.008466,0.002822,0.008466,0.002822
46,13382.3,0.87428,0.42514,0.95353,0.68271,0.78826,0.7358,0.45664,1.30292,0.60422,1.09908,0.0049905,0.0016635,0.0049905,0.0016635,0.0049905,0.0016635,0.0049905,0.0016635
47,13668.4,0.86227,0.41923,0.94658,0.68956,0.79053,0.73648,0.45719,1.30295,0.60355,1.0992,0.0049014,0.0016338,0.0049014,0.0016338,0.0049014,0.0016338,0.0049014,0.0016338
48,13953.6,0.86174,0.41917,0.94736,0.68691,0.79013,0.73483,0.4554,1.30268,0.60204,1.09923,0.0048123,0.0016041,0.0048123,0.0016041,0.0048123,0.0016041,0.0048123,0.0016041
